Genus;Species;Center Lat;Center Long;C-Square;Depth (m);Surface Water Temp. (°C);Bottom Water Temp. (°C);Surface Salinity (psu);Bottom Salinity (psu);Primary Production (mgC·m-3·day-1);Sea Ice Concentration (0-1 fraction);Dissolved Bottom Oxygen (mmol·m-3);Distance to Land (km)
Sardinella;aurita;5.25;-9.75;7000:459:2;386;27.91490936;16.72651863;32.80241013;35.72492599;9.891999885;0;62.44877625;27
Sardinella;aurita;5.25;2.25;1000:352:1;3425;27.86058617;2.137883902;34.1847229;34.8990097;14.54299968;0;235.7295074;139
Sardinella;aurita;5.25;-0.25;7000:350:1;604;26.95555687;11.59111977;34.50387573;35.26517105;40.22299871;0;41.08086395;27
Sardinella;aurita;5.25;-0.75;7000:350:2;42;26.80474281;25.11566353;34.47854614;35.0743866;43.21200028;0;192.7947845;17
Sardinella;aurita;5.25;-1.25;7000:351:1;27;26.88702774;24.84561157;34.2649498;35.16424179;43.42928156;0;186.3665314;9
Sardinella;aurita;5.25;-1.75;7000:351:2;21;26.92458916;25.01922989;34.17392349;35.13485336;43.52360219;0;186.6534576;1
Sardinella;aurita;5.25;-3.25;7000:353:1;85;26.96167946;26.31120491;34.11082077;34.84947205;45.17053813;0;201.5914459;9
Sardinella;aurita;5.25;-3.75;7000:353:2;213;26.9573822;27.20597649;34.1170845;34.73609924;46.37600109;0;210.3372192;13
Sardinella;aurita;5.75;-50.75;7005:350:4;2226;28.24540329;2.616280079;34.0072403;34.92105103;10.98799985;0;263.5995178;208
Sardinella;aurita;5.75;0.25;1000:350:3;209;26.88141632;26.09002113;33.71290207;35.20019913;44.33999956;0;207.5970612;15
Sardinella;aurita;5.75;1.25;1000:351:3;1177;27.3786869;3.610812902;33.54463577;34.95883942;23.18000048;0;220.9782715;51
Sardinella;aurita;5.75;-10.25;7001:350:3;310;27.86195755;18.41123009;31.43519783;35.68544006;10.63599996;0;92.29814911;27
Sardinella;aurita;5.75;4.75;1000:354:4;166;28.05468178;25.53919029;27.51709175;35.19244766;11.28199976;0;204.2681885;27
Sardinella;aurita;6.25;3.75;1000:363:2;437;27.97423553;17.83087349;30.55384827;35.81804657;24.37699959;0;74.44429016;26
Sardinella;aurita;6.25;4.25;1000:364:1;194;28.02993011;25.48357773;29.60213089;35.21987152;14.83299956;0;203.0252838;23
Sardinella;aurita;6.25;-55.25;7005:465:1;37;27.49577332;27.52948952;34.51737213;34.91443253;35.1030007;0;205.2424164;27
Sardinella;aurita;6.25;-55.75;7005:465:2;55;27.44368744;27.48757172;34.76037216;35.78831863;31.60100058;0;203.3214722;27
Sardinella;aurita;6.25;-10.75;7001:360:2;170;27.76859856;27.40385628;30.97664261;34.81986237;12.52000034;0;213.3480835;21
Sardinella;aurita;6.25;1.25;1000:361:1;27;27.26926613;26.57334709;33.02318573;35.23009491;23.95969816;0;212.4585419;8
Sardinella;aurita;6.25;1.75;1000:361:2;193;27.44004631;26.81876945;32.78376389;35.24300003;17.96500012;0;213.6737061;16
Sardinella;aurita;6.25;2.25;1000:362:1;449;27.63055611;21.36766243;32.20204163;35.74435043;17.54499972;0;143.0988464;20
Sardinella;aurita;6.25;-13.75;7001:363:2;4513;28.30449104;1.858778;34.60809708;34.87694168;1.708999975;0;243.0743408;249
Sardinella;aurita;6.25;2.75;1000:362:2;373;27.78365898;21.40220642;31.54383278;35.73527908;20.88600025;0;143.0328522;23
Sardinella;aurita;6.75;-56.75;7005:466:4;136;27.71352768;27.02416229;35.26202011;35.91334534;19.03500035;0;203.7274323;111
Sardinella;aurita;6.75;-57.75;7005:467:4;5;28.01782227;27.95625877;33.72926712;35.29631424;21.53700031;0;205.4176941;22
